text,label,notes
"what makes it funnier is the reason he got waived. they needed to make room for mac mcclung so he could wear their jersey in the dunk contest. they waived a finals starter for the dunk contest.",hot_take,implied claim that 76ers were dumb - narrative structure builds toward judgment
"perhaps we shouldnt be calling teams a dynasty after 1 chip lol",hot_take,general claim about dynasty label triggered by OKC loss
"Meanwhile Chet is taking 2 shots on a max",reaction,venting about in-game performance - contract mention is color not argument
"It's the highest percentage of a team's points in a Finals game (47.9%) since MJ in game 6 in 1998",analysis,specific verifiable stat with historical comparison
"From a historical half-time Finals lead to an all-time choke job. This series is on crack.",reaction,emotional response to Knicks comeback - no claim being made
"This is less of a defense of Fox per se, but to try and guide the criticism to somewhere more constructive. Analysis of his gaffe aside, I want to push back on the oft-touted expectation that he, as a 'veteran', should know how and when to take control of the game. Fox is not the 30+ year old cerebral point guard that people might associate with the veteran label. He's a 28 year old - younger than Jalen Brunson - with declining athleticism who built his reputation on being an explosive focal point of an offense. He was averaging a career peak of 27ppg just two seasons ago, and was 11th in MVP rankings in a season where he averaged 25ppg on 51.2 FG%. Throughout his Spurs tenure, he's been figuring out not just his role, but also trying to come to terms with someone who doesn't have the same athleticism due to injuries and age. That's quite difficult to accept for someone who's not even 30 yet, and is a common struggle that we've seen from players who were ultra-athletes in their early- to mid-20s. Their maturation into becoming a proper 'veteran point guard' comes after they get past that hump, if and when that happens. (Some commentators have tried to frame Fox as someone with playoff experience, but before this year he literally only played one series, when he was still at the peak of his athletic powers.) His comments after Game 4 really shed light on this - he genuinely thought he could outrun OG, because he almost certainly could in his prime form. His mentality has not caught up with his body, and that shows in his play in crunch situations. If I'm a Spurs fan, I might need to come to terms with the notion that Fox is still undergoing a maturation process himself. Yes, he doesn't need to be a veteran to not make that mistake, but Fox in particular has hardly ever been that guy. To be empathetic - he still has the ability to grow and improve. It's just that people should never have assigned to him labels that he has yet to potentially become.","analysis","Original post; structured argument about Fox maturation with specific stats (27ppg, 11th MVP, 25ppg/51.2 FG%, age 28 vs Brunson), historical comparison with similar athletes"
"The one thing I want to mention is that when the Spurs traded for Fox I imagine that they the Spurs and every one else did not believe the very next season Fox was going to be a starting point guard for a championship team. The Spurs traded for Fox before they got lucky lottery odds again and were able to draft Harper at 3 this year. The Spurs winning the title this year was not on anybodies mind when this trade happened 1 season ago. Nobody thought of Fox as that guy who is the lead guard and main ball handler for a championship team this year when last year he was on the kings. My point is he did a good enough job meeting expectations and now the team's succes is so large that Fox either needs to be credited more or less. I see plenty of people who think it should be less","analysis","Structured argument about FO decision-making and roster needs; references timeline, contract extension context, and multi-player roster considerations"
"They signed him to a 4-year extension when he still had a year left on his contract. Maybe the FO didn't think they would as good this year. But they decided to pay Fox to be their starting PG and highest paid player for Wemby's age 23, 24, 25, and 26 seasons. I think this was just poor talent evaluation on the part of the Spurs FO. They wanted to add a star player... but they went after a fringe all-star, score first PG who was relies on his athleticism to score. And then signed him to a massive contract extension that starts during the years when most players athleticism is declining. They made a finals which is more than most franchises can say. But people panned this trade and extension when they happened for exactly this reason.","analysis","Adds context about extension timing with specific roster framing; supports structured argument about FO strategy"
"I just don't see the point of having Fox, Castle and Harper on the same team if Fox is on a max. Castle/Harper seems like the nobrainer backcourt duo for San Antonio next to Wemby. I think these finals have dropped his value by a lot especially with that behemoth contract","hot_take","Asserts roster incompatibility claim (Fox/Castle/Harper) without supporting evidence; confident opinion stated"
"Castle has a higher turnover rate and lower assist to turnover ratio than Fox. Fox is the stabilizing veteran. Fox is not a traditional floor general style of point guard, and he has had his ups and downs in the playoffs, but he does a better job not turning it over than Castle. My perspective is that the problem isn’t that Fox is not able to be the veteran point guard that this team realized it needed in the finals, but that the front office chose not to put the pieces of a championship team together at the deadline. That might have involved acquiring someone else who could/would get downhill (maybe even by trading Fox?). The Spurs didn’t lose this game because of Fox any more than they lost it because Wemby missed two free throws - really, they lost this game because of long stretches in which they settled for outside shots possession after possession instead of attacking the basket and trying to get to the free throw line.","analysis","Backs up with specific stats: turnover rate, A/TO ratio, rebounding; structured rebuttal with verifiable evidence"
"(I know no one wants to hear this, but his ill-advised layup was the direct result of his smart (veteran?) play to get to the loose rebound and tap it downcourt and chase it down.)","analysis","Makes a causal argument linking the specific layup error to the loss outcome; references matchup context and game situation"
"That’s great and all but we have no evidence that Fox will complete that “maturation process”. There’s really nothing to suggest he can turn into an elite game managing point guard, that’s never been his style. His shooting is streaky bordering on bad and he’s had a few bad mental mistakes and turnovers. He has been pretty bad the entire playoffs 16 ppg on bad efficiency with below average defense. That’s not to say he hasn’t been useful for the Spurs. His ball handling and experience has been useful but ultimately you don’t need to spend 55 mil on that. And I get he’s had an ankle injury but I think everyone knows Harper will surpass him soon. The Fox, Castle, Harper, Wemby minutes have been poor in the playoffs and I don’t think the 3 of them playing together is their best lineup.","hot_take","Challenges maturation claim but without countervailing evidence; asserts absence of proof as confident opposition"
"Indeed, and I hedged by saying if he gets past that hump. I just want people to recognize that he's more of a guy who's recovering from the hangover of his peak athleticism.","analysis","Post author hedges the maturation claim explicitly; makes conditional argument about player development trajectory"
"The biggest issue for San Antonio going forward is his contract. They're paying him to be their second best player, and he's their third best guard. He's going to make $61m in his age 31 season when San Antonio will need to be paying max or near-max contracts to Wemby, Castle, and Harper. They got impatient to build around Wemby and made a terrible unforced error, from an organization that has historically been smarter than that.","analysis","Focuses on contract ($55M figure implied) and roster construction — structured critique with specific financial framing"
"Fox looked like a smart move to take scoring pressure off Wemby. I could see a situation next year where if Spurs get a power forward in the draft who can start, the lineup could be Harper at PG, Fox at SG and Castle at small forward.","analysis","Proposes a plausible future trade scenario with rationale around Wemby development; structured roster-building argument"
"As a spurs fan, don’t need him to control the game as you say, just hold the ball really lol. All jokes aside, fox has been in a different role all year and he has done a great job all things considered. We lost our lead due to about a million mistakes so while I still think Fox had a brain fart, we just didn’t deserve to win the last game..","hot_take","Short assertive take on what Fox needs to do; no supporting evidence for the claim"
"I agree with what you’re saying, it’s like people think he’s a CP3/Mike Conley type of savvy, pass first point guard but that’s just not his game. Definitely more score first and ball dominant. I’m wondering if he has some lingering injuries and hoping he can get a bit of burst back, because he relies so much on using that athleticism to create separation for drives and midrange.","analysis","Compares Fox to CP3/Conley archetype; uses archetype analysis to argue mismatched expectations; evidence is comparative"
"Crazy what if - should Chris Paul have signed a vet min with spurs after being waived by the raptors ? He had excellent chemistry with Wemby and he is exactly the savvy vet that would be a game manager in high pressure situations","hot_take","Speculative what-if about Chris Paul signing with Spurs; stated as a bold idea without supporting argument"
"The fox dialogue has been a massive overreaction. Even if you think Harper will be better next year, they have no backcourt depth. The Spurs wouldn’t be here without fox. Yeah, he’s not a cerebral mastermind, and I doubt he ever will be quite on that level, but his presence and composure brought stability in the middle of that thunder series. Stop trying to scapegoat fox. The spurs aren’t even supposed to be here right now. They’re like 2 years ahead of schedule, and that’s thanks in a large part to Fox.","analysis","Argues Fox discourse is overreaction; references Harper development timeline and specific series results to ground the argument"
"many spurs fans have been dogging on fox all season, even when the team was winning this is not simply a reaction to a single play, it's a buildup of a max-player failing to play up to that standard throughout the course of an entire season","hot_take","Claims fan criticism is justified and systemic, not just about one play; asserts a position about Fox's season-long underperformance"
"If you really step back, Fox has been on good teams in 2023 and 2024 (yes, they still had a winning record here despite not entering the playoffs). Aside from those and this year, he hasn't been in other winning seasons in his 9 seasons in the NBA. While he's been in the league for a while, being in winning situations more times than not would have helped with crucial decision making","analysis","Reviews Fox performance across 2023/2024 seasons, frames playoff context, and draws structured conclusions from historical record"
"for someone who's not even 30 yet, Most NBA players are out of the league by age 30. Fox has more of his career behind him than ahead of him. If Fox doesn't have veteran basketball IQ by now, after being a starting NBA point guard for nine years, it's doubtful he's ever going to achieve it.","hot_take","Challenges the ""not even 30"" framing by asserting most NBA careers end earlier; stated without stats or citation"
"Fox is still by far the best floor general they have. It’s strange he’s still not a great basketball IQ guy but those guys are still so young and they can’t run a proper offense That second half was the epitome of not having a true offense. And yes he’s also to blame for that but he’s the only one there that can at least run an offense They would’ve never gotten this far without Fox. But his contract is just awful and they’re stuck with him unless they give up draft picks","analysis","States Fox is best floor general they have, then pivots to critique inconsistencies; makes comparative observation with evidence implied"
"Yeah, if his contract isn't tradable I think he might benefit in some ways from being a 6th man rather than a starter, think he could work better as a spark of instant offense rather than as lead decision maker. As a Spurs fan I'd rather trade him but theres probably a good chance that isnt possible","hot_take","Speculates Fox might benefit from reduced pressure in a different role; opinion without evidence"
"The problem is not Fox, but Fox and his contract. The spurs have 3 very good guards to share the 2 spots and can all play 30 minutes per night. To move on from fox would cost them a bunch of picks for a MPJ, or decent 2 way power forward to give them some more toughness. Not getting a top tier player - no chance.","analysis","Distinguishes the player from the contract as the real problem; frames around roster construction logic with three guards"
"He’s being paid $55 million a year, almost twice what any other Spur is being paid. The Knicks star, Brunson is getting $29 million.","analysis","Uses specific salary figure ($55M, twice next-highest Spur) to argue contract is the core issue; verifiable stat used structurally"
"Fox plays like an average guard, and the Spurs are hoisting their sixth trophy. That feels like reason enough to run it back at least once","hot_take","Bold claim: Fox plays like an average guard yet Spurs win a sixth trophy; prediction stated with no supporting argument"
"With all due respect hell naw man. Even if he thought that was a free layup, which would be a ridiculous thought no matter what he thought of his current athleticism, it is still clearly advantageous to dribble outside and waste as much clock as you can. Anyone defending that move is bewildering to me. You're just trying to be contrary at a certain point.","reaction","Expresses strong emotional rejection of the framing; ""hell naw man"" tone indicates affective response to specific game event"
"It's also funny because you can count on one hand the number of layups he's attempted or made this series.... He's been very passive once he gets to the rim, often times he just pivot back for a short jumper. There was absolutely no reason for him to take that layup, basically the most blockable shot. Either go strong for a dunk, or just pivot back for a jumper which will waste more time hitting the rim and collecting the rebound. Even better, don't shoot.","analysis","Provides shot-chart context — notes Fox rarely attempts layups this series; uses observable game data to contextualize the mistake"
"Another point people are missing is he is still injured. He is at maybe 80%, and no where near his usual explosiveness. Tbf, if he was at 100% OG wouldn’t have caught him. It was still a dumb decision.","analysis","Raises injury angle: argues Fox is at ~80%, a factor others are ignoring; uses health context to reframe performance critique"
"I agree with your point about him not being a real vet presence. But I also think that the Spurs never really needed that from a player standpoint. They all got drafted/traded to a perfect situation in that regard but with Fox I think 1. They have him too much money even when it was looking like it was worth last season and all of this season up until he got hurt. And yes he’s not really old but he’s old enough and been in the league long enough to know better and not make the kind of mistakes (cause that layup wasn’t the only one) he made last night. I give him some grace with his performance in the post season cause he’s been injured for a good chunk of it but most of his mistakes have nothing to do with that. I honestly think that Dylan starting would be better not because I think he’s a better player than Fox (yet) but in that him as the starting PG in the future of the franchise and him starting with his two co stars would be better long term.","analysis","Acknowledges OP point then adds nuance about crunch-time decision-making using specific game moments to support"
"Fox’s stars when Wemby doesn’t play are pretty fantastic. It really looks like a chemistry issue between the two, because he looks like a great player in his prime when Kornet starts","analysis","References Fox stats when Wemby is absent to argue Fox performs well; uses observable performance data as evidence"
"It was a mistake, but they’ve all made them. Youth can be contagious. He’s always going to be in the toughest spot right now because he’s the only non-homegrown on a massive contract. He’s done a remarkable job of fitting in and not being a diva (at least from the outside looking in). As a Spurs fan who also has always loved the Knicks, game 4 felt about 20% as bad as the Ray Allen shot. Any Spurs fan calling for heads to roll needs to remember how the Spurs bounced back from that 2013 shot. If you think Fox and the Spurs are going to roll over, then they deserve whatever criticism they get. I don’t think this team will do that.","reaction","Dismissive ""it was just a mistake"" response; expresses casual acceptance rather than making a structured claim"
"Yea it’s not that serious tbh, not much on the line this year.","reaction","Agrees it is ""not that serious"" this year — expressive feeling about stakes, no substantive claim"
"In reality, it's not about what Fox did or didn't do. Coach was supposed to call a timeout. He clearly wasn't coaching at that moment. Call the timeout and win the game . If that happens, how does the other team win ? A short clock, you can't foul , in bound to wemby, hold ball game over. Why we putting this on ̈ fox ,coach was ball watching, cause he's in̈experienced. He 100 % could have secured a win . Fox was in̈ battle fighting for a win , reacting , doing what he thought was right. Coach let him down","analysis","Shifts blame to coach for not calling timeout; makes a tactical/structural argument about coaching responsibility"
"Wemby has played professional basketball for many years and is the leader. Wemby “should” know better than to keep shooting from the outside and do what a DPOY does - defend How many points did the Knicks score How was the winning basket was scored, on a rebound Where was Wemby when the winning basket was scored, looking from the perimeter","hot_take","Asserts Wemby is the leader and frames Fox as a complementary piece; bold claim without supporting stats or argument"
"Honestly I think they should also fire the coach as well as trade Fox because not guarding the inbounder when you have a Wemby is so stupid. Especially when the game ends with Towns deflecting the pass on the other end.","hot_take","Calls for both trading Fox and firing the coach; multiple bold assertions without supporting evidence"
"Mike Brown after a scorching 3-0 start to preseason this year said that he did not really run any plays for his team. On the surface you think that's crazy. But Mike Brown's offense is a read-and-react, motion offense largely built on Princeton principles. Sometimes the Knicks run a really, really, high pick and roll - 35 feet to see if they can catch guys sleeping and get Brunson down hill. Notice the **formation of players are already set up.** Wings deep, two guards high, with our X5 high and ready to play. **Think of it this way: The Knicks don't always use set plays**, but they have **SPOTS** -- they have **automatics.** Places you **NEED TO GO** once someone else exits that spot. When you're a high IQ player, knowing there are gaps to fill make your life and remembering what you're in that much easier. **The key to their Princeton action**: Point Formation: Big man/post player at the top. Two deep corner wings. Two high guard slot players. It's a very common 4 out-1 in (in is relative in this particular example, you can see plenty of what I'm talking about in all the other video links in this thread.) **KAT's decisions are simple.** * If this action occurs close enough to the 3, shoot the mf rock. * If they close out when he goes to shoot, attack the rack. He is one of the fastest, mobile bigs in the league as we saw blowby after blowby on Wemby in G1. * Dribble at the opposite guard. In standard Princeton, this is a backcut typically. In the following play, OG goes *over* KAT, KAT gets to do a little pseudo-screen on the trailing defender and it's an easy cut to the basket for a dunk. Again, this is a read and react situation. If OG backcuts that with NAW right in front of him, they will get nothing out of that action. Since NAW was all over him, he goes over instead and creates an advantage. * Flex action. One of the Knicks' favorite plays comes out of Point. **A Flex screen**. Again, Point is a formation - big man in the pinch post/up high, wings deep, guards in guard spots. Here Jalen enters into the pinch and cuts middle. He then sets a *Flex Screen* for OG. Sometimes if the defender trails this is an easy dump off to the cutter for a layup too. This is again a beautiful example of read and react: If OG's man follows perfectly, Brunson can cut back, or run a get action. Here's a great video on the Flex out of Point breakdown that the Knicks utilize. I tried to also find an added clip in season of when the Flex screener would stunt to get the ball and then back cut off his own Flex screen which was beautiful. As you can see, there are so many different actions that can occur. This system does not need set plays. It needs **smart, cohesive basketball players.** The forums, the social media, the discussions. Everybody memes on the Knicks' **power of friendship.** As a Varsity basketball coach, there is nothing more important than the power of friendship. Hear me out. **Power of friendship is just basketball chemistry.** * If he goes to set a screen, is he more likely to ghost it? If he pops on that, does he want the shot there? Or would he rather a get action where he gets the ball DHO and gets downhill? * If my big man dribbles at me and we're in point, does he usually want me to backcut? Do I go over the top of him? Point based offense like this is heavily dependent on knowing your teammates and knowing how to read their defender as well as yours. The fact that most of these guys have hundreds of thousands of reps with each other in the gym fortifies this strength and turns it into results. Princeton is nothing new. If you've watched Geno's historic UCONN Teams, you know that 85% of their offense is Princeton. But maybe what you don't know is it's the same with Mike Brown's teams. When the Kings were lighting the beam, he had arguably the second best passing big of the modern era on his team, and he took full advantage. Here attacking at the nail, here - this is a 'Jungle' (point action on the same overloaded side, and I won't be surprised to see KAT do this exact same thing: attacking off the bounce and looking for his own to collapse the defense. I think it's a misnomer to say the Knicks go large periods without play calls. It's more so that they have a structure to play in. This structure is free-flowing, ever changing and gives them the option to do 10 different things at a time. It lets basketball players be basketball players instead of putting them into X's and O's.",analysis,"Detailed tactical breakdown of Princeton-based motion offense with named formations, player roles, and decision trees; evidence is specific and verifiable."
"I find this really interesting as a Trail Blazers fan specifically because the team is in the middle of a head coach search, and how it pertains to Tiago Splitter who is a proponent of similar read and react offensive philosophies and the team very much had few set plays- by Tiago's own admission, something he felt came back to bite them in the postseason. He called our system ""the blender"", in the sense that every cut should be a movement through space where the vacuum left is filled by the next man and so-on. Due to injuries, the team wasn't really healthy enough to have the talent or continuity to run the systems Tiago wanted, so most of the season we wound up moving to a heliocentric 'put the ball in Deni's hands and let him cook' offense, and I wonder how Tiago would handle that if he got back in terms of balancing what he thinks philosophically vs the evidence that an old-school, 'give the rock to your star' offense was just more effective for the team last year. I do think read-and-react teams are the basketball ideal, like the Spurs beautiful mind 2013-2014 team Tiago was a part of, or the GSW dynasty built off Curry's and Klay's offball gravity whizzing around the floor, but I also think there is a demand on the players having both the talent, basketball acumen, and want to pull it off- if you've got a Jonathan Kuminga style 'turd in the punchbowl', you can quickly see that it takes certain kinds of players to thrive in these kinds of offense. I wonder if that's motivating the Brad Stevens esque coach to GM transitions, the degree to which personnel and roster-building decisions inform the on court product is arguably higher than ever, so you need your front office aligned in the vision and execution.",analysis,"Draws historical parallel to Tiago Splitter's coaching philosophy and its failure with young Trail Blazers; uses team-specific context as evidence."
"Yes and this is a historical problem with read-and-react offenses. It's rather easy to scout eventually. We ran a similar point-based motion offense and it got to a point in Playoffs where depending on what our players called, the opposing teams players would call it so they all knew what action they were trying to jam... i.e. we ran the exact Flex screen action that the Knicks run and they jammed it perfectly. Played every part of it perfectly. This is where our younger guys started breaking down and couldn't handle the pressure of trying to create something out of nothing. That's why people say in Playoffs you need a superstar -- a guy that can go 1-on-1, P&amp;R, and just cook. Injuries and stuff is so tough and de-rails the chemistry building process badly. Especially if it's a guy like Scoot, Camara.. the bigger cogs",analysis,"Explains how motion offense gets scouted over time using personal coaching experience as evidence; structured argument about system vulnerabilities."
"The Warriors have run something similar (in that it’s read and react and motion constantly without a lot of play calls) since Kerr became coach. I doubt that it’s coincidence that Brown has implemented his version. He’s said he learned not to micromanage the offense during his time with SF and to trust his players to make the right decisions.",analysis,"Makes a historical/causal argument linking Kerr and Brown's systems; cites Brown's own stated philosophy as evidence."
"Yup! Another bunch of incredibly high IQ guys. They run the same thing but out of the low post for Draymond due to how much more 3 pt spacing it gives them instead of looking for paint scoring opportunities like the Knicks do. They’ll often do their little dance on the perimeter and use the split screen as a drag screen for a 3 instead. It's actually probably more to do with the fact that Draymond is not a scoring threat from 3. They do run Horford out of the pinch post or on an overloaded wing-point action sometimes from what I can remember.",analysis,"Compares Knicks and Warriors implementations of similar motion systems with specific player and tactical differences cited."
"Pacers do the same thing. They just term it ""random basketball."" It's not really mind-blowing, it fits a faster paced game. Less setup, more intuition and reads. Heavily reliant on chemistry.",hot_take,"Makes a claim about the Pacers running the same system under a different name; stated as fact without detailed supporting evidence."
"Actually technically speaking by the way, the Pacers run a pistol/circle motion offense. It’s a bit more perimeter orientated and relies less on a big man who can create, rather perimeter shooters and perimeter players who can create.",analysis,"Provides specific tactical correction distinguishing Pacers pistol/circle motion from Princeton; names specific personnel roles as evidence."
"This is what Stephen Silas tried to do with the young Rockets core in Houston and fans absolutely flamed him for it. But the GM seems to have been behind the process, too, or he wouldn’t have let it go on for multiple seasons. In the end, it failed because the owner lost faith in it. Probably because Kevin Porter Jr is no Jalen Brunson and Fertitta didn’t allow his GM enough time to sign James Harden to come back into the lead guard role. But it’s absolutely the best way to run an offense in the modern NBA, imo. Take what the defense gives you and exploit it. Try to make plans, and it’s easier for them to get blown up.",analysis,"Traces the failure of Silas's similar system in Houston using multi-season organizational context (GM, owner, fans) as structured argument."
"They had a lot of egos to manage there too. Buy-in is so so so important.",hot_take,"Brief declarative claim about Rockets ego problems and the importance of buy-in; asserts without elaboration or verifiable evidence."
"It’s much more popular among coaches now to just have systems. You’ve got maybe a couple plays but the game breaks down and it’s a lot to keep track of.",hot_take,"Asserts a trend (coaches prefer systems over plays) without citing specific data or examples; confident statement without supporting evidence."
"If you watch a lot of teams that’s what happens sometimes. There’s a couple of set ‘formations’. Some teams run ‘Flash.’ Wide wing corner, wide guard corners. Star flashes middle. Goes to work 1 on 1 in the middle of the floor. Another popular formation is ‘Power’ which is what the Grizzlies ran - dunkers spot, corners, a play maker and another guard. If you dribble at a spot it’s a back cut and then a constant rotation of movement. Others run weak side pick and roll. Every team needs a couple of ‘Here’s the ball. Go be great’ type of plays, and guys who can execute them.",analysis,"Describes specific named offensive formations used by real teams with tactical roles explained; verifiable tactical knowledge."
"Reminds of Pacers last year; everyone knowing their role and committing to it fully can outplay more talent teams. There's no hesitation and outside of Brunson, no one is forcing anything. Brunson has been very inefficient, but him being aggressive and putting so much pressure, allows everyone else to be more efficient. The moment teams let up on him, he goes on a run.",analysis,"Makes a causal tactical argument about Brunson's aggression creating opportunities for teammates; draws comparison to Pacers chemistry."
"Great post, thanks very much. I'd just like to bring up the fact that Brown is frequently lambasted by fans as a poor coach without the X/O know-how. This championship run is an interesting reminder that, unlike star performance, coaching outcome is highly circumstantial.",hot_take,"Claims Brown is frequently underrated and that coaching outcomes are highly circumstantial; confident opinion without rigorous evidence."
"That was my perspective of him too actually before he went to Sacramento. I was never a fan of him in LA. But it makes you wonder the more stories we hear posthumously about Bean how many of those personnel issues were more to do with the players than the coaches.",hot_take,"Reassesses Brown's reputation and implies Kobe-era personnel issues were the players' fault, not coaches; speculative and without verifiable evidence."
"I mean it worked , right? You can’t tell me that works against the beautiful game spurs though.",hot_take,"Rhetorical challenge asserting the system would fail against the Spurs; stated boldly without supporting evidence."
"Everyone knew this Spurs team was gonna terrorize the West for years… but this early??","hot_take","depth-0, author=KarchunToo"
"I thought for sure they lose his series and that would be the motivation they needed to own the league for the next decade. Turns out they brought their own motivation.","reaction","depth-1, author=pagerussell"
"Wemby going out with 5 fouls, and everyone worrying about how they'll handle the minutes without him, only for LUKE KORNET to absolutely OBLITERATE Hartenstein's dunk attempt was the most important play of the game It was like when the Chiefs subbed in Chad Henne after Mahomes went out and he got that game-sealing 4th down","hot_take","depth-0, author=AthleticAlarm32"
"That block was top 3 moment of the series Wemby's crazy ass 3 first game obviously #1","hot_take","depth-1, author=DangerIsMyUsername"
"Chet had one of the most sorry playoff series performance for an allstar, all-nba, and all-defensive team player of all time. That was pathetic on a multitude of levels…🤮🤮🤮","hot_take","depth-0, author=ProfessorBeast55"
"$240 million to put up 2 FGA and have 4/4/0 is ridiculous, he was scared for his life","hot_take","depth-1, author=Homeless_drip"
"To destroy the ""too small"" narrative, Jalen Brunson will have to defeat the tallest basketball player in the world. This finals is going to be so fun.","hot_take","depth-0, author=PlanetJK"
"Good. 2 orange and blue teams would’ve been a bad uniform matchup","hot_take","depth-0, author=expungant"
"Chet fucking stinks, Ozempic Abraham Lincoln is a no show once again 4 points on 1/2 FG in G7 of the WCF? With B2B Finals on the line?","hot_take","depth-0, author=Leegend124"
"1-2 for 4 points in a winner take all game where your 3rd and 4th best scorers are out. Just completely owned by Wemby","hot_take","depth-1, author=JuanRobesPierre"
"I LOVE DYLAN HARPER AND I DONT CARE WHO KNOWS IT, KID IS SO FUCKING TUFF","reaction","depth-0, author=Casualrodfarva2"
"He really is so great holy. Him stopping Castle from hulking out, Crazy good defense, Made impactful offensive rebounds. He has me as a fan for life.","reaction","depth-1, author=Batman4815"
"Spurs vs Knicks is going to be absolute cinema. Legit I can't wait the toxicity of these games was too much LOL","hot_take","depth-0, author=dylanh334"
"Champagnie was Undrafted out of college and he is playing like 20+ minutes a game in the WCF making league minimum money. That’s fucking crazy.","analysis","depth-0, author=ignatious__reilly"
"Daryl Morey let him go from the Sixers by the way, all roads lead back to him.","hot_take","depth-1, author=dpatel211"
"Wemby wasn't even that good tonight. Spurs team is just that good already. Champagnie the game 7 killer.","hot_take","depth-0, author=sloBrodanChillosevic"
"Keldon Johnson 4th quarter proved why he was 6th man of the year.","hot_take","depth-1, author=BlazeBloom"
"This series between the two top MVP candidates: Victor Wembanyama Points: 28.1 PPG Rebounds: 13.2 RPG Assists: 2.8 APG Blocks: 3.7 BPG 48.1 / 40.0 / 89.5 Shai Gilgeous-Alexander Points: 28.0 PPG Rebounds: 4.3 RPG Assists: 8.2 APG Steals: 1.8 SPG 40.9 / 28.6 / 93.8 (don’t ask me to throw Chet in here that’s mean)","analysis","depth-0, author=marquisoflife"
"I have to give flowers for SGA's skills in the assists category. That man had full 360-degree court vision and was making perfect passes out of double teams mid jump like it was nothing. Amazing composure and IQ","hot_take","depth-1, author=ZenThrashing"
"What an insane 7 game series. Absolute battles of dominance as well as attrition imo.","reaction","depth-0, author=realrimurutempest"
"WHAT A FUCKING BALL GAME! I thought it was gonna get ugly with the Caruso hard foul on Castle earlier being just a common foul, but it didn't get ugly. The refs let them play for the most part. Man, I'm looking forward to the Knicks-Spurs match up, but I dunno if it'll live up to the hype of this entire Series. What a game. I'm gonna be sad when this season is over and I gotta wait until the start of the next one.","reaction","depth-0, author=DMmeNiceTitties"
"The let them play version of the nba is such a better product for the viewer","hot_take","depth-1, author=Rapscallious1"
"We have a rematch of the 1999 NBA Finals and even more importantly, a rematch of the 2026 NBA Cup Final. The most important championship in sports.","hot_take","depth-0, author=WatchOutIGotYou"
"OH yeah, I forgot that the NBA finals will be a rematch of Cup Final, lol","reaction","depth-1, author=Money4Nothing2000"
"Chet having 2 FGA in a game 7 is disgusting Caruso shouldn't have the 2nd most FGA in a game 7 either!","hot_take","depth-0, author=mangoribbean"
