text,label,notes
"Kornet with one of the biggest plays of the series.","hot_take","depth-0, author=chataolauj"
"If Chet's a 50M+ third option that's a fuckin anchor contract","hot_take","depth-0, author=evieka"
"Chet seems like a decent fellow so I don't like to pile on, but in this game he was not a decent player. Shai tried while others just couldn't hit as well as previous games. Anyway, congrats to Spurs.","hot_take","depth-0, author=Kongary"
"This back to back shit isn't so easy is it? Seattle sends their regards, eat a dick Clay Bennett","hot_take","depth-0, author=by_yes_i_mean_no"
"Some will argue there’s an asterisk to this win because OKC was without their best player, Tony Brothers, this game","hot_take","depth-0, author=Chu-pac"
"It feels good knowing a bunch of people from Oklahoma are upset tonight","reaction","depth-0, author=SemataryPolka"
"Generational hate watch for anyone outside the state of Oklahoma","hot_take","depth-0, author=talksindemos3"
"In 2022-2023 he played for the 76ers for 2 games with 3.3 minutes per game, and went to the Spurs and played 20.9 minutes a game for 15 games shooting 40.7% from 3. His shooting form is so smooth and when he's in rhythm I just feel like the ball will go in. And he holds his own when being targeted by SGA. It's more than pure luck that well-run teams like the Spurs and OKC knew to pick up Champagnie and McCain. I wonder how do they know which player to pick up. What do they assess? Do they scout every player who's been cut and analyse their game and work ethics? How do they know a player that's been cut by another team would work on their team? And how do the 76ers in this case, not know that Champagnie could turn out to be a great role player/ starter on a Finals team?","analysis","Post body: multi-part question grounded in specific stats (MPG, shooting %, games played) and cross-team comparison — structured analytical framing"
"You mentioned McCain, see also Isiah Joe. Sixers have fumbled quite a number of useful players. But I will say both OKC and SA are really incredible at DEVELOPING specific skills in players -- most notably shooting.","hot_take","Depth-0: bold opinion or claim asserted without specific verifiable evidence"
"I agree with everything but idk if shooting is a strong point of okc development. they lost this series and were taken to game 7 twice last year partially because they couldn’t really shoot well from three","hot_take","Depth-1 reply: bold opinion or claim asserted without specific verifiable evidence"
"To answer part of your question, no, teams don’t necessarily spend a lot of time scouting EVERY player, but if they see a guy who has attributes that entice them, they’ll do deep dives. Sometimes a team will scout a guy for 2+ full years before they’re able to acquire them. It’s really a combination of excellent scouting, accurately assessing a players value, and being patient enough to wait until the right time to make the move so you don’t overpay.","hot_take","Depth-0: bold opinion or claim asserted without specific verifiable evidence"
"Sometimes a team will scout a guy for 2+ full years before they’re able to acquire them. That's an interesting image of someone who observes a crush for 2 years from afar, then swoop in the moment the breakup happens. But yeah, Spurs are famously very good at identifying young reclamation projects, and produced many role players with decade long careers. Danny Green, Patty Mills, and Jonathan simmons off the top of my head. It helps that they always had a stable system, and when these guys come in they have a really specific role they are training for. Scout for the defensive IQ and attitude, then just teach them how to shoot. Then, BAM, You got a rotational player for a couple years.","hot_take","Depth-1 reply: bold opinion or claim asserted without specific verifiable evidence"
"The sixers were a 54 win team that year trying to win a title with Doc Rivers as a coach who notoriously does not play rookies or experiment with lineups really. The Spurs were a 22 win team who weren't trying to win so he could develop with no pressure. He's proven that he's a legit player but it is a lot easier to perform with no pressure or expectations. There's a lot of guys on tanking teams that get minutes that wouldn't normally and end up being or developing into quality contributors. You can't really blame the Sixers here because their timeline just didn't allow throwing unproven guys out there and hoping it works out","analysis","Depth-0: stat-backed structured argument with reasoning chain"
"I fundamentally disagree with this. Look at McCain. Nurse refused to get him on the floor, and when he did, ran no plays for him so McCain looked lost and like he had no idea what he was doing. He goes to the Thunder and immediately gets good minutes so Dagenault can create a role for him, so he knows what to do if he ends up playing important minutes. Any team can use regular season games to work on combinations with end of bench guys, seeing what they offer and figuring out how you might be able to use that guy for 5 minutes here and there. The Sixers have just had coaches who refuse to do it. There is no reason you can't throw a guy out there against a shit team and try some stuff out. Doc and Nurse just lack creativity and use their stars to get wins in the regular season with no thought for what happens if someone is injured, or sick, or too tired to get their game off when it matters.","hot_take","Depth-1 reply: bold opinion or claim asserted without specific verifiable evidence"
"The Sixers have, unfortunately, had 2 coaches in a row who flat out refuse to develop end of bench guys and instead play their stars non stop in the regular season. Which is annoying for 2 reasons; 1) Those guys will always end up getting cut or allowed to walk for nothing because they ""aren't contributing"" (and the Sixers response to this has been to go and get half dead veterans on the buyout market, like Dwayne Dedmon, George Hill, Greg Monroe, Amir Johnson, Reggie Jackson etc. Or in Champagnie's case, waived him so they could sign Mac McClung so he could compete in the dunk contest which is INSANE). 2) If they stay on the roster, they have no idea what their role is or how to fit in to the offense/defense because they haven't had any meaningful reps all season, so they look worse than they are and never get a shot.","hot_take","Depth-0: bold opinion or claim asserted without specific verifiable evidence"
"Spurs would have likely scouted him in college. Liked his measurements/frame and identified him as an archetype that they could develop into a useful player. Likely, they tried to sign him in FA but were unable to, so picked him up when they had a spot to fill and he became available.","hot_take","Depth-0: bold opinion or claim asserted without specific verifiable evidence"
"Towards the end of his Toronto tenure, Nick Nurse relied very heavily on his starters, and kept all reserves on a very short leash, and not given them any opportunities to develop. Seems like the same thing is happening in Philly?","hot_take","Depth-0: bold opinion or claim asserted without specific verifiable evidence"
"This is true of Nurse but Champagnie was in Philly when Doc was the coach, not him","hot_take","Depth-1 reply: bold opinion or claim asserted without specific verifiable evidence"
"He’s not amazing laterally especially with stop/start stuff but he’s like 6’8 and tries hard which is often good enough","hot_take","Depth-0: bold opinion or claim asserted without specific verifiable evidence"
"He rebounds well though and Spurs like their shooters to crash the board","hot_take","Depth-1 reply: bold opinion or claim asserted without specific verifiable evidence"
"It should also be noted the two teams were looking for different roles to be filled so his development is a result of opportunity","hot_take","Depth-0: bold opinion or claim asserted without specific verifiable evidence"
"Imo the sixers just have a bad FO. Relying on Tobias Harris a couple years ago and Kelly Oubre this year… 2 players literally known for being bad and overpaid. Also Paul George $50m/year in 2026? Yikes.","hot_take","Depth-0: bold opinion or claim asserted without specific verifiable evidence"
"I think he’s an okay defender but every time I remember from this series shai blew right by him or shook him. I know spurs d funnels drivers into wemby to an extent but of all spurs perimeter players it looked like champagnie had the hardest time on shai To avoid generalizing because it’s usually more case specific, I think teams usually look more to address their weaknesses or bolster their strengths and if a player on the fringes that falls within those comes available they’ll take a deeper look at the player as a whole So much of how a player turns out, if they don’t have star level talent, is about fit (roster construction, play style, coaching etc). I don’t think champagnie does this for every team, but the 76ers management is not the greatest anyway. I imagine they had ball handler needs at the time but extra tough in hindsight. If champagnie was playing like this for the 76ers they probably wouldn’t release him tho (I say probably because their management is pretty ass). And on top of that some teams have better player development and are more dedicated/patient on that front","hot_take","Depth-0: bold opinion or claim asserted without specific verifiable evidence"
"I disagree, I thought Champagnie did an excellent job when switched onto SGA. He was constantly funneling him towards Wemby (Spurs main defensive principle), and forcing him to settle for contested mid-range jumpers. SGA is just so good that those contested middies are still good shots for him. Champagnie did not do as good of a job walling off his drives as Castle did, but he isn't nearly the athlete that Castle is. I especially thought Champagnie did a better job on SGA than Harper, Fox, and Vassell. Vassell especially was biting for shot fakes more than the other guys, and Fox is just too small to consistently bother SGA.","hot_take","Depth-1 reply: bold opinion or claim asserted without specific verifiable evidence"
"Playing time differences are mostly due to the fact that the Spurs were fully in tank mode in 2022/23 (which...worked out), whilst the Sixers were trying to compete around an MVP season from Embiid. The Spurs had lots of playing time to go around, and if you're in that stage you're just trying to work out who actually has skills to be a contributor - Julian was obviously a hit, but I don't think it was incredibly obvious at the time. I think that playing time was pretty important in the growth of Champagnie - gave him a clear runway and confidence, then certainty of a contract and stability of knowing that filling this role would give him a place in the league. I don't think the 76ers had the chance to give him that secret sauce that led to his development.","hot_take","Depth-0: bold opinion or claim asserted without specific verifiable evidence"
"Yea I’m not even sure the spurs expected this much out of him. Look at his contract, it’s very cheap and it’s not like he turned down higher offered to stay in SA. That was just his value at the time.","hot_take","Depth-1 reply: bold opinion or claim asserted without specific verifiable evidence"
"The 76ers obviously did see something in Champagnie. That's why they got him in the first place. But patience and timelines come at a premium in the NBA. It's very common for one team to pick up a prospect, but then have him become decent somewhere else.","hot_take","Depth-0: bold opinion or claim asserted without specific verifiable evidence"
"I feel like good GMs/Scouts/Coaches can take the basic talent, these players have and focus on that while teaching them to fit into the role they should play in the team. JC and McCain are both quick. McCain more so than JC. JC has a lethal 3pt shot amd in rhythm it's a pretty fast release too. If you're looking for a 3 n d guy to sit in the corner and wait for Embiid or Maxey to cough the ball out to, you're wasting their porential. I don't know how they played in Philly but it seems to me, Julian was not sent into motion enough, with too little ball movement as well to open up spots that showcase his IQ and lightfootedness. And if you don't give McCain the ball and run multiple screens for him, like OKC did, you need to quit. That man is a lightning bolt. And the 3 pointer is harsh as well. He is like Jalen Brunson to me. No idea how Dallas didn't build around his footwork and capability to finish at the rim. Maybe it's the bench lvl skillset they had around them in their old team's roles?","hot_take","Depth-0: bold opinion or claim asserted without specific verifiable evidence"
"I am not entirely sure if this is the only reason, but I saw it brought up before that the Sixers waived Champagnie to sign Mac McClung to a 2 way so he would compete in the dunk contest in a Sixers jersey.","hot_take","Depth-0: bold opinion or claim asserted without specific verifiable evidence"
"This will never not be hilarious because what the actual fuck","hot_take","Depth-1 reply: bold opinion or claim asserted without specific verifiable evidence"
"He went undrafted in 2022, so basically every team passed on him. Because of that I wouldn't really hold anything against the Sixers. The Spurs are just a great franchise that always seems to make the right move.","hot_take","Depth-0: bold opinion or claim asserted without specific verifiable evidence"
"The spurs were a younger team w more minutes to go around and took a shot at signing Julian and he worked his way into a role by playing well. The 76ers were a playoff team w o the time to develop anyone as well as the money to play anyone who might cost more than they could afford too. That explains that and Mcain to Okc was about Presti taking a shot at a player who flashed upside before his injury. The thunder also needed shooting and he fit the mold. By the time Mcain was back from injury there simply wasn’t enough minutes for him to work into any meaningful numbers also which makes it look like more than it is. I know this because I play fantasy and saw what the kid could do pre injury and by the time I could grab him off waivers this year I did. But to my poor luck he never got going again and now they had VJ playing great and thought that Mcain was expendable","hot_take","Depth-0: bold opinion or claim asserted without specific verifiable evidence"
"Champs happened to be a good archetype for what to put around Wemby, and is one of the better contracts in the league. 2023-2025 has essentially been designated as the phase for the youngsters to get their feet wet and play winning basketball with vets like Fox, Barnes, and Kornet. The 3rd unit is mostly made up of older vets who take up garbage time to set a good culture for the young guys. The franchise is ahead of schedule, so it seems like the retool is going to be made with upside depth for the 3rd unit. Champs will likely be offered a team friendly contract if he wants to keep his role on the team, and SA has a viable replacement in Bryant should Champs capitalize on FA.","hot_take","Depth-0: bold opinion or claim asserted without specific verifiable evidence"
"Champagnie was always a shooter. Real ones remember during Wemby's terrible summer league game Champagnie was the one who went off and scored like 30 on quite a bit of 3s. His defense and IQ are what improved the most from his time on the spurs. He's not impressing anybody on those aspects of his game, but he's no longer a liability in those two areas and that's huge for a shooter.","hot_take","Depth-0: bold opinion or claim asserted without specific verifiable evidence"
"A lot of players would look great under the Spurs system. You have a heavy rotation of players at the 1-3 that simply just grinds people down while allowing Wemby to function. More touches, more open shots. The Thunder do the same thing. They were merely missing players for Game 7. Sixers? They should've kept some of these players. Of course, their problem is with injuries. Can't really utilize this, otherwise, if Embiid is always hurt","hot_take","Depth-0: bold opinion or claim asserted without specific verifiable evidence"
"What were the Sixers thinking? Just letting top tier talent walk. Everything they needed this postseason, they had, and let it walk away. With the East as weak as it is, they prob could have made it to the ECFs tbh.","hot_take","Depth-0: bold opinion or claim asserted without specific verifiable evidence"
"Well the 76ers really look for old guys with damaged knees or at least chronic back pain issues while other teams focus on under appreciated talent","hot_take","Depth-0: bold opinion or claim asserted without specific verifiable evidence"
"Darryl Morey is a basketball terrorist. Remember, this is the same guy that said 3 pointer should be worth 2.5 points.","hot_take","Depth-0: bold opinion or claim asserted without specific verifiable evidence"
"To be blunt, his value is at an all time high right now because he hits open threes when it matters. You can't really scout for that. He's also a much better player than he was back then.","hot_take","Depth-0: bold opinion or claim asserted without specific verifiable evidence"
"He's playing the same, but on a much better team. Sometimes it's just a system thing. SA is known for maximizing role players even after Pop left the game. He's still a streaky shooter, which can be compensated for if you have a bunch of other talent doing different things, which to 76ers have less of.","hot_take","Depth-0: bold opinion or claim asserted without specific verifiable evidence"
"Sixers FO only values name recognition, they love focusing their roster construction on stagging what ever big name FA is available.","hot_take","Depth-0: bold opinion or claim asserted without specific verifiable evidence"
"To me Julian sucks. He doesn't do anything besides chucking the ball. BUT... That is all the Spurs need him to do is make 3 threes to open the court for others and this season he has been knocking them down.","hot_take","Depth-0: bold opinion or claim asserted without specific verifiable evidence"
"The nba did have a rule for this, then it just quietly went away","hot_take","Claims NBA had a rule against this; stated confidently but no evidence provided"
"You've got a foul on me. Just remember what the old ref said. Boy, you've got a foul on me.","reaction","Humorous reaction riffing on the moment; no claim being made"
"This is brilliant. I'd like to start a petition that his new nickname be Toy Story.","reaction","Playful reaction suggesting a nickname; no argument or claim"
"One of the best comments I have ever read lol","reaction","Direct emotional reaction to a preceding comment, no claim"
"It’s so funny that Fox literally tucked his arms in and scooted to the side to very deliberately not foul and then SGA gets the call anyways with his very natural shooting motion.","analysis","Describes specific observable mechanics: Fox tucking arms vs SGA getting the call anyway"
"He fouled him by creating airflow when he moved that knocked Shai down","reaction","Sarcastic reaction; no genuine claim being made"
"You can’t even touch the man or else it’s a foul. Immediately to jail.","hot_take","Bold assertion about SGA drawing fouls; no supporting evidence"
"OKC fans will tell you it’s… a) a CLEAR foul b) DRAWING FOULS IS A SKILL c) he had 19PTS on 7/7 FTS and y’all call him a FT Merchant YOU DONT KNOW BALL","hot_take","Satirizes OKC fan talking points; asserts a behavior pattern without specific evidence"
"Basketball referees might be the dumbest people on the planet","hot_take","Bold disparaging opinion about referees; no factual backing"
"Covered my child’s eyes watching it. Horrific act. Should never ever happen again.","reaction","Hyperbolic sarcastic outrage reaction to the play; no substantive claim"
"OP should be draw and quartered for not tagging this NSFW, this is horrific. No one has seen this type of hellish violence since WW1","reaction","Sarcastic hyperbolic reaction comparing to WW1; no real claim"
"Our MVP just falling all the damn time even when it doesn't get him FTs most times this playoffs.. Just a disgrace. There is no mechanical reason to do that, you're risking injury do it to yourself. Just a disgrace to the game when he has no need to do it and dominate.","hot_take","Asserts SGA flops even without benefit and calls it a disgrace; no verifiable evidence"
"Watching the replay in slow motion is so embarrassing with his very practiced fall to the ground. I watched Shaq put his balls in David Robinson’s face over and over again when I was 11 years old. Shit was the most dejected I’ve ever felt as a sports fan, and I’d still choose that 100 times over losing to this clown. Fucking gross.","reaction","Personal emotional reaction comparing the feeling of watching SGA flop to past NBA injustices"
"Could’ve sworn I read a comment from an OKC fan stating, “SGA specifically falls like this to prevent injuries.” 😂","reaction","Reacts with mockery to an OKC fan rationalization; no original claim"
"They know what they’re doing. If they were playing on pavement how many times do you think they hit the floor on “fouls” like that","hot_take","Implies flopping is intentional by asking a rhetorical question about pavement"
"Hard for SGA to get a clean look when he’s beating off defenders like this.","reaction","Crude joke reaction; no substantive claim"
"Well, thats definitely one way to make the nba more interesting I guess","hot_take","Mild ironic take asserting flopping as entertainment; thin claim without evidence"
"the fact that anyone can see something like this and then claim sga doesn’t flop is absurd","hot_take","Asserts that denying SGA flops is absurd; direct claim without supporting evidence"
"Actually, the funny thing is that OKC fans see this shit and realize they cant defend him anymore, so they try the ""what-about"" tactics.... What about that time when Wemby elbowed Naz? What about that time when Brunson exaggerated the contact? What about that time when Ant held SGA's arm?","analysis","Structured argument about OKC fan deflection tactics with specific named examples"
"In threads like these, you won't even see them. They just wait for the next one that isn't as egregious, and will pretend these fouls never existed.","hot_take","Claims OKC fans avoid egregious foul threads and pretend they never happened"
"That’s what I’m saying what the fuck is the point of being so close if you’re still gonna call it wrong!","reaction","Emotional reaction to bad refereeing; expresses frustration without making a structured claim"
"It’s hard to believe it’s not coming from Silver himself at this point","hot_take","Implies league office is directing officiating to favor SGA; assertion without evidence"
"How does SGA doing this shit constantly still get a good whistle? It’s incredible that the refs have seen this all season and still fall for it. Are they the dumbest people on earth?","hot_take","Claims refs consistently fail to see through SGA flopping all season; rhetorical but no data"
"when you think off all the maulings Curry has got on his 3 attempts over the years that never got a whistle you have to wonder why they are so eager to grant them to someone like SGA","analysis","Structured comparison: Curry historically fouled without whistles vs. SGA getting easy calls"
"If he does soon that means we don’t have to watch this bs for the rest of the playoffs","reaction","Vague emotional wish that something changes; no specific claim"
"He can’t. Thunder fans told me he falls to protect his legs.","reaction","Sarcastic reaction mocking a Thunder fan talking point; no new claim"
"They gotta start calling techs like in soccer you get a yellow card for simulation","hot_take","Proposes a rule change inspired by soccer; a bold assertive opinion without supporting argument"
"The funny thing is when OKC complains every time they get a foul called on them.","hot_take","Claims OKC fans are hypocrites about foul calls; assertion without specific examples"
"you just don't like this because the Thunder are good, if you don't like this you don't like basketball there is no other possible reason the post I've read 100000 times from Thunder flairs","reaction","Parodies a predictable OKC fan deflection argument; satirical, no independent claim"
"I haven’t seen America coming together to hate one man like this since Bin Laden. Shai is destroying my childhood favorite sport to watch.","hot_take","Hyperbolic claim that SGA is destroying basketball; bold assertion without evidence"
"I’m so sick of watching this shit every single possession. FIX THIS FUCKING GARBAGE!","reaction","Emotional expletive-laden reaction to flopping; expresses frustration, no structured claim"
"I’ve stopped watching. Starship Troopers Meme “I’m doing my part!”","reaction","Humorous reaction about having stopped watching the NBA; no substantive claim"
"fox is clearly actively trying to avoid him, he doesn’t even jump. what exactly is a defender expected to do if THIS is called a foul??","analysis","Specific observation that Fox actively avoided contact yet foul was called; poses structural question about rules"
"For real. He’s a fucking clown and will always be looked at like one outside of OKC as long as he keeps playing like this.","hot_take","Bold disparaging claim about SGA reputation outside OKC; no evidence"
"OKC fans will tell you with a straight face that you’re not a fan of basketball if you can’t appreciate this","hot_take","Claims OKC fans gatekeep basketball appreciation to defend flopping; assertion, no evidence"
"It’s pretty infuriating too. The fact they refuse to even acknowledge it and act like SGA is a victim for ALL of us being sick of this.","hot_take","Asserts OKC fans gaslight everyone by portraying SGA as victim; no data"
"We should go easy on them, 99% of them just learned the rules of basketball 6 months ago","hot_take","Bold claim that most OKC fans are bandwagoners who recently learned basketball"
"I saw about 10 everybody flops posts defending this after game 3. Even when the statistics tell us he falls the most, you can just see it with your eyes. He is unbearable.","analysis","References statistics showing SGA falls most; combines data point with visual observation"
"So trash to watch please please god let it be spurs Knicks in the finals","reaction","Emotional wish for a different Finals matchup; expresses a preference, not a structured claim"
"Thunder fans will try and tell you he landed awkwardly on his ankles and fell to keep himself from being injured.","hot_take","Claims Thunder fans rationalize flopping as injury prevention; assertion about fan behavior"
"From a historical half-time Finals lead to an all-time choke job. This series is on crack.","analysis","depth0"
"The Spurs' greatest strength is their biggest weakness. Crazy energy and effort from their youth. But, they get a lead and think it's over. Happened time and time again through these playoffs","hot_take","depth1"
"Game-winning block and game-winning shot on back-to-back possessions completing the greatest comeback in Finals history at MSG. It genuinely doesn’t get more perfect than that for a player.","analysis","depth0"
"Holy fucking shit. That’s the most clutch tip I’ve ever seen","reaction","depth0"
"Gotta be one of the biggest plays in NBA Finals history. Tip in to win the game in the biggest comeback in finals history","analysis","depth1"
"This is his Ray Allen 3 pointer. This shot will be on every best of the decade list, every top playoffs shots. He was already loved in Toronto and New York. Now he's a legend.","analysis","depth0"
"it's his ""oh blocked by james"" AND ""back out to allen"" within a span of 20 seconds","reaction","depth1"
"OG IS THE MVP FOR THE BLOCK AND THE PUTBACK","hot_take","depth0"
"his 3s were huge in digging them out of that deficit too","reaction","depth1"
"i don’t mean to exaggerate but de’aaron fox is the dumbest man to ever live","hot_take","depth0"
"You may have taken him out of Sacramento but you can’t take the Sacramento out of him","reaction","depth1"
"Bro KAT was crying That shit was the greatest most magical comeback oh my word","reaction","depth0"
"KAT tipped the pass on that last inbounds play by Harper. Explains why he was so emotional","reaction","depth1"
"This is why you (if you're an NBA player) play the game for 48. And this is why you (if you're a fan) never stop supporting for 48. Supreme hustle from OG.","hot_take","depth0"
"Generational collapse by the Spurs. Generational blunder by Fox. Absolutely wild conclusion to this game.","hot_take","depth0"
"I know he’s a great announcer and stays unbiased for the most part but you can hear the joy in Mike Breens voice during this whole comeback and I love that for him","reaction","depth0"
"Mike Breen getting to call that play at MSG. Special.","reaction","depth0"
"Anunoby will be a legend in NYC for the rest of his life","hot_take","depth0"
"Someone explain to me why the fuck Wemby wasn’t in the paint? He’s 7”5 and the coach orders him to guard a guard on the perimeter? Not a coach or pro by any means but even I know that’s stupid. He should be left in that area tied to a chair.","hot_take","depth0"
"i dont know too much shit about basketball and strategy but i came here looking for this answer lmao why would you not put that giant mf in the paint???","reaction","depth1"
"No other explanation Mitch Johnson has a severe learning disability","reaction","depth0"
"""Surely we can't go 0-20 from 3 this half, right? Surely we can't go 0-21? Can't go 0-22? Can't go--""","analysis","depth1"
"This is beyond embarrassing for the Spurs. Up by 20 in the 4th? You know Pops is licking his chops waiting for them back in Texas.","analysis","depth0"
"If pops watched this game he is probably dead tbh","hot_take","depth1"
"Thought Brunson's shot was stupid, holy shit what a putback by OG. Hand of god","reaction","depth0"
"He saw wemby was on him, he threw a super high arc shot and just hoped his team could rebound for second chance. If wemby was in the paint they have almost no chance at a second chance play.","hot_take","depth1"
"OG has gotta be Finals MVP if Knicks win the championship. He’s been unreal.","hot_take","depth0"
"9 months from now the name Ogugua is gonna have a spike.","reaction","depth0"
"if OG has a million fans, then i am one of them. if OG has ten fans, then i am one of them. if OG has only one fan then that is me. if OG has no fans, then that means I am no longer on earth. if the world is against OG, then I am against the world.","reaction","depth0"
"Gregg Popovich is going to shoot someone on the tarmac","reaction","depth0"
"If the Knicks win, I have him as the Finals MVP. The guy has made numerous clutch shots this series that kept the Knicks in the game. The Spurs deserved the loss tonight with how management was handled, along with bad ball movement and just weird WTF moments from Fox.","hot_take","depth0"
"Deadass about to cry waiting for the train, can’t believe ts","reaction","depth0"
"This is the most insane game I can recall watching in a long time holy crap lol","reaction","depth0"
"They needed to foul and they fucked it up and why the hell is your 7 footer guarding at the half court lmfao","reaction","depth0"
"We just witnessed one of the craziest game in NBA history","analysis","depth0"
"I’ll be watching this play for the next 50 years, good God.","reaction","depth0"
"The greatest thing I have ever seen in my life.","reaction","depth0"
"I miss him so much glad he is having success though","reaction","emotional expression of missing a player, no claim"
"Knew what he had to do when he came in. Just like how he knew most of the questions on the ACT to score a 34","hot_take","bold confident claim about Kornet's instincts, stat is decorative not argued"
"I was expecting him to be a liability when he got in there for Wemby but he pretty much put the game away.","hot_take","asserts Kornet put the game away without structured argument"
"Play of the game and huge swing, OKC go on a run if this happens","hot_take","counterfactual claim about momentum without evidence"
"Arrives Channels LeBron James Returns to bench All-time work shift from Kornet.","reaction","comedic emotional reaction to the block moment"
"Yeah just a crusher for OKC. Spurs went from being ahead by 4 to being ahead by 8 in quick fashion.","analysis","specific scoreline shift cited as structured causal observation"
"I absolutely love how as a nation we are alllll rooting for the spurs lol.","reaction","expresses collective emotional sentiment, no broader player/team claim"
"This must be how Spurs fans felt watching White in that championship run","hot_take","comparative claim about fan experience implying Kornet = White-level impact"
"Salesian Sister blessed Kornet vs Prime bloodlusted Lebron anime fight? Who wins","reaction","comedic hypothetical, no real claim"
"That might be one of the greatest plays by a role player in playoff history","hot_take","bold superlative about historical greatness without evidence"
"Picked a hell of a time for the play of his life","hot_take","asserts this is the play of his life, implied claim about significance"
"Hartenstein confirmed a stripper because he just got BLOCKED BY KORNET","reaction","immediate emotional exclamation to the block"
"Is this what Spurs fans felt watching Derrick White in our run? If so, I'm fucking loving it","reaction","expresses personal emotional experience, framed as question"
"Definitely. We will cheer for the Buffalo til he hangs it up!","reaction","expression of fan loyalty and feeling"
"Spiritual successor to the Gobert Fadeaway, it's over for OKC","hot_take","asserting OKC is done based on one play, no structured argument"
"Lmao I never would've thought in a million years Kornet would have the play of the game","reaction","expresses surprise/disbelief, no broader claim"
"When someone mentions the name ""Luke Kornet"" somewhere in 20 years, this is what people will immediately think of. It's an all-time play.","hot_take","bold claim about lasting legacy of the play, stated without argument"
"Sent us to the finals. Everyone was hoping for a close game with a defining big time play. We got what we wanted and this was it.","reaction","emotional reaction tied to specific outcome, no analytical structure"
"Love it - no OKC in the finals, no more SGA falls and smug faces. Good for a change. I am looking forward to hear the response from the fair weather OKC analysts (secret fans). The real MVP is going to the finals.","hot_take","multiple confident assertions about teams/players without evidence"
"Honestly, this is one of those plays where as soon as it happens, you know the team that did it will win the game. Up there with the Game 1 Wemby 30 footer and the Game 7 Rudy Gobert fadeaway in the semis 2 years ago against the Nuggets.","analysis","comparative argument using specific verifiable game plays as evidence"
"Hartenstein completely sold any chance OKC had of a comeback with this and the butterfingers the next play","hot_take","bold causal claim pinning OKC collapse on Hartenstein without structured argument"
"CHECKS IN GAME CHANGING BLOCK CHECKS OUT LUKE FUCKING KORNET","reaction","pure exclamatory emotional reaction"
"Icing on the cake is the floor OKC fans pointing at the ref INCENSED and BEGGING for a foul lmao","reaction","expresses amusement at specific fan reaction, no claim"
"""BLOCKED BY JAMES!!!"" Flashbacks. Chills. Instantly reminded me of Giannis block too","reaction","immediate emotional reaction comparing to iconic plays, feeling-driven"
"This spurs team is insane. Every player saved the game. Champagnie hit so many needed shots. Harper was everywhere. Fox foul was giga brained. Castle defense and shot making and Wemby is Wemby. Kornet kontest. What a game this team is nuts","analysis","multi-player breakdown citing specific contributions as evidence for team quality claim"
"This made up for every shitty Luke Kornet minute in this series","reaction","personal emotional catharsis, expresses feeling about prior frustration"
"He doesn't get enough credit for the very next defensive play either. Didn't bite on the fake pass then forced a turnover when he did pass it late","analysis","specific tactical observation of two sequential defensive actions as structured argument"
"This swung the game. OKC probably wins without this block","hot_take","bold counterfactual causal claim stated without evidence"
"kornet been clutch as the only playable non wemby center for us","analysis","structured claim with contextual evidence: clutch + only viable center"
"This legitimately might be the best play of his basketball career","hot_take","superlative career claim stated without evidence"
"97-93 would've brought the Thunder right back into it. Huge play","analysis","specific score cited (97-93) as evidence for counterfactual impact claim"
